"word","id","accuracy","rt","trial_type","trial_number"
"climb",54,"correct",558.158201516543,"practice",1
"elbow",54,"correct",565.962068186415,"practice",2
"fruit",54,"correct",478.596861904503,"practice",3
"brick",54,"correct",540.901479901362,"practice",4
"drown",54,"correct",467.123663419992,"practice",5
"plimp",54,"correct",526.953282105114,"practice",6
"florp",54,"correct",507.518402388438,"practice",7
"blarp",54,"correct",545.772733238442,"practice",8
"drorp",54,"correct",509.645532654447,"practice",9
"snorp",54,"correct",528.910216401375,"practice",10
"grape",54,"correct",639.169122585571,"experimental",11
"piano",54,"correct",513.76753133416,"experimental",12
"apple",54,"correct",581.861827127372,"experimental",13
"sugar",54,"correct",492.123909355867,"experimental",14
"flasp",54,"correct",501.998079219394,"experimental",15
"quart",54,"correct",425.152680556988,"experimental",16
"vlump",54,"correct",489.778908663034,"experimental",17
"nlorp",54,"correct",463.007900113322,"experimental",18
"blorf",54,"correct",509.532755473225,"experimental",19
"flame",54,"correct",509.645532654447,"experimental",20
"group",54,"correct",500.050367381695,"experimental",21
"grind",54,"correct",514.675950245033,"experimental",22
"speak",54,"correct",565.962068186415,"experimental",23
"water",54,"correct",421.08691021192,"experimental",24
"wrasp",54,"correct",558.728463800226,"experimental",25
"quiet",54,"correct",566.671522955489,"experimental",26
"ruler",54,"correct",535.486762894313,"experimental",27
"quote",54,"correct",528.910216401375,"experimental",28
"mrump",54,"correct",492.227709447927,"experimental",29
"dramp",54,NA,NA,"experimental",30
"drisp",54,"correct",523.978584029002,"experimental",31
"clock",54,"correct",484.81168964039,"experimental",32
"laugh",54,"correct",520.316418663999,"experimental",33
"knasp",54,"correct",518.908386337032,"experimental",34
"klirp",54,"correct",554.261751496345,"experimental",35
"twasp",54,"correct",452.558813882319,"experimental",36
"skump",54,"correct",502.628332674354,"experimental",37
"snack",54,"correct",492.133238362807,"experimental",38
"wrump",54,"correct",541.717499600128,"experimental",39
"clorb",54,"correct",557.189471077801,"experimental",40
"sleek",54,"correct",487.305658577019,"experimental",41
"dresp",54,"incorrect",500.903502374017,"experimental",42
"heart",54,"incorrect",532.67810121431,"experimental",43
"crasp",54,"correct",530.683456807,"experimental",44
"crane",54,"correct",585.499976536136,"experimental",45
"sweep",54,"incorrect",497.131373517741,"experimental",46
"table",54,"correct",526.421383892843,"experimental",47
"lwump",54,"correct",448.003894119324,"experimental",48
"dwasp",54,"correct",615.196101134156,"experimental",49
"spork",54,NA,NA,"experimental",50
"grisp",54,"correct",485.063149795975,"experimental",51
"frasp",54,"correct",491.20392713785,"experimental",52
"plasp",54,"correct",426.851989598199,"experimental",53
"jlorp",54,"correct",582.586387989183,"experimental",54
"judge",54,"correct",527.941009781108,"experimental",55
"hrump",54,"correct",491.568130208507,"experimental",56
"mirth",54,"correct",586.03217902404,"experimental",57
"globe",54,"correct",529.80305516994,"experimental",58
"jwump",54,"correct",539.341801291097,"experimental",59
"zworp",54,"correct",524.050177768533,"experimental",60
"xrimp",54,"correct",602.63816132644,"experimental",61
"brump",54,"correct",553.88048873284,"experimental",62
"nrimp",54,"correct",538.099273865903,"experimental",63
"plant",54,NA,NA,"experimental",64
"onion",54,"correct",581.722286969831,"experimental",65
"prump",54,"correct",653.937588664223,"experimental",66
"quill",54,"correct",412.878463330997,"experimental",67
"snibb",54,"correct",548.257364181671,"experimental",68
"light",54,"correct",536.359683202775,"experimental",69
"swoop",54,"correct",523.233259857819,"experimental",70
"scary",54,"correct",503.149896585792,"experimental",71
"saint",54,"correct",523.522025648717,"experimental",72
"trimp",54,"correct",482.652764500728,"experimental",73
"train",54,"correct",511.004378326183,"experimental",74
"flibb",54,"correct",512.276673285636,"experimental",75
"haste",54,"correct",514.896159249931,"experimental",76
"blump",54,"incorrect",544.576398088433,"experimental",77
"swipe",54,"correct",544.364157365747,"experimental",78
"qrasp",54,"correct",467.123663419992,"experimental",79
"plane",54,NA,NA,"experimental",80
"zlorp",54,"correct",526.953282105114,"experimental",81
"vlasp",54,"correct",445.178717375902,"experimental",82
"brush",54,"correct",483.715244193693,"experimental",83
"xlorp",54,"incorrect",512.672972489439,"experimental",84
"flock",54,"incorrect",556.698282877331,"experimental",85
"quibb",54,"correct",498.828160092747,"experimental",86
"blasp",54,"correct",493.949180897842,"experimental",87
"liver",54,"correct",422.4490768559,"experimental",88
"honor",54,"correct",556.033559218369,"experimental",89
"mango",54,"correct",467.764972570928,"experimental",90
"slurb",54,"correct",517.442143336911,"experimental",91
"glasp",54,"correct",497.461562734378,"experimental",92
"shred",54,"incorrect",602.222778660807,"experimental",93
"shine",54,"correct",572.878122968745,"experimental",94
"dworp",54,NA,NA,"experimental",95
"chair",54,"correct",474.787214000666,"experimental",96
"florp",54,"correct",471.921713571862,"experimental",97
"trasp",54,"correct",531.82994319845,"experimental",98
"sloth",54,"correct",481.585986378916,"experimental",99
"ocean",54,"correct",503.050704075113,"experimental",100
"glorf",54,"correct",514.131592266365,"experimental",101
"stare",54,"correct",558.158201516543,"experimental",102
"qrump",54,"correct",597.838119864458,"experimental",103
"prasp",54,"correct",560.385615082817,"experimental",104
"bread",54,"correct",634.607835355659,"experimental",105
"mlorp",54,"correct",458.458717379331,"experimental",106
"squat",54,"correct",530.37763347752,"experimental",107
"zrimp",54,"correct",471.608216810986,"experimental",108
"plurt",54,"correct",462.584873733504,"experimental",109
"pluck",54,"correct",541.156868886411,"experimental",110
