"word","ID","accuracy","rt","trial_type","trial_number"
"fruit",73,"correct",477.665822819265,"practice",1
"drown",73,"correct",496.820575868971,"practice",2
"elbow",73,"correct",500.152923748194,"practice",3
"brick",73,"correct",514.860007543542,"practice",4
"climb",73,"correct",465.640645031086,"practice",5
"florp",73,"correct",379.890473979897,"practice",6
"plimp",73,"correct",538.376092434339,"practice",7
"snorp",73,"correct",424.877657392801,"practice",8
"drorp",73,"correct",489.759108495551,"practice",9
"blarp",73,NA,NA,"practice",10
"qrump",73,"correct",532.004985887271,"experimental",11
"prasp",73,"correct",514.860007543542,"experimental",12
"heart",73,"correct",458.79311965892,"experimental",13
"piano",73,"correct",469.993277120109,"experimental",14
"sugar",73,"correct",486.371020008866,"experimental",15
"speak",73,NA,NA,"experimental",16
"blorf",73,"correct",536.874326598575,"experimental",17
"pluck",73,"correct",573.740497885542,"experimental",18
"wrasp",73,"correct",398.961728473788,"experimental",19
"grape",73,"incorrect",461.50178508016,"experimental",20
"vlasp",73,"correct",445.953370728402,"experimental",21
"stare",73,"correct",545.441566960647,"experimental",22
"liver",73,"correct",495.29605222449,"experimental",23
"plant",73,"correct",477.665822819265,"experimental",24
"plane",73,"correct",486.530041092063,"experimental",25
"train",73,"correct",435.237929414595,"experimental",26
"shred",73,"correct",495.25066130903,"experimental",27
"clorb",73,"correct",379.890473979897,"experimental",28
"knasp",73,"correct",480.21753642601,"experimental",29
"mlorp",73,"incorrect",449.527831855535,"experimental",30
"sloth",73,"correct",486.619116061348,"experimental",31
"bread",73,"correct",585.49543891028,"experimental",32
"xlorp",73,"correct",526.339241905656,"experimental",33
"trasp",73,"incorrect",500.152923748194,"experimental",34
"grisp",73,"incorrect",477.137500802675,"experimental",35
"clock",73,"correct",527.798278814199,"experimental",36
"sweep",73,"correct",545.571136546637,"experimental",37
"plasp",73,"correct",399.076262291579,"experimental",38
"klirp",73,"correct",474.085050053746,"experimental",39
"table",73,"correct",579.965803265876,"experimental",40
"nlorp",73,"correct",495.258528533594,"experimental",41
"zrimp",73,"correct",468.973645455744,"experimental",42
"zlorp",73,"correct",492.997278061525,"experimental",43
"blump",73,"correct",447.386785414979,"experimental",44
"hrump",73,"correct",523.73610332861,"experimental",45
"swoop",73,"correct",435.749065506929,"experimental",46
"quart",73,"incorrect",463.432295737077,"experimental",47
"ocean",73,"correct",481.597366494297,"experimental",48
"drisp",73,"correct",474.978002927887,"experimental",49
"twasp",73,"correct",499.445415958569,"experimental",50
"mrump",73,"correct",419.036301921405,"experimental",51
"group",73,"correct",453.411594334839,"experimental",52
"flock",73,"correct",476.963327792911,"experimental",53
"crane",73,"correct",472.196071167028,"experimental",54
"quill",73,"correct",424.877657392801,"experimental",55
"laugh",73,"incorrect",598.379558264507,"experimental",56
"onion",73,"correct",535.823043218273,"experimental",57
"sleek",73,NA,NA,"experimental",58
"light",73,"correct",515.995577464574,"experimental",59
"chair",73,"correct",460.170814205849,"experimental",60
"saint",73,"correct",501.960822764762,"experimental",61
"shine",73,"correct",502.780809126355,"experimental",62
"glorf",73,"correct",538.376092434339,"experimental",63
"jwump",73,"incorrect",466.273155588788,"experimental",64
"nrimp",73,"correct",489.759108495551,"experimental",65
"ruler",73,"correct",502.987230049901,"experimental",66
"florp",73,"correct",491.48197598437,"experimental",67
"scary",73,"correct",503.419303076535,"experimental",68
"glasp",73,"correct",418.352426949599,"experimental",69
"jlorp",73,"correct",531.502913860836,"experimental",70
"grind",73,"correct",472.338660347242,"experimental",71
"quiet",73,"correct",456.201331620632,"experimental",72
"zworp",73,"correct",584.114435691692,"experimental",73
"haste",73,"correct",472.438254179068,"experimental",74
"mango",73,"correct",496.972828872074,"experimental",75
"plurt",73,"correct",585.803534517817,"experimental",76
"flibb",73,"correct",446.48054281461,"experimental",77
"xrimp",73,"correct",410.590633598078,"experimental",78
"quibb",73,"correct",496.820575868971,"experimental",79
"slurb",73,"correct",507.915133173822,"experimental",80
"swipe",73,"correct",505.062800667087,"experimental",81
"flame",73,"correct",480.703045965068,"experimental",82
"dwasp",73,"correct",551.71420849466,"experimental",83
"judge",73,"correct",431.15082665718,"experimental",84
"honor",73,"correct",403.500251444615,"experimental",85
"lwump",73,"correct",469.529998580127,"experimental",86
"skump",73,"correct",465.640645031086,"experimental",87
"globe",73,"correct",560.438662141474,"experimental",88
"apple",73,"correct",489.722788579359,"experimental",89
"blasp",73,"correct",479.040221964115,"experimental",90
"brump",73,"correct",508.754181785927,"experimental",91
"dramp",73,"correct",494.336662233445,"experimental",92
"trimp",73,"correct",415.970405011256,"experimental",93
"dresp",73,"correct",560.305736005412,"experimental",94
"snack",73,"incorrect",407.817132709874,"experimental",95
"frasp",73,"correct",437.51330606399,"experimental",96
"wrump",73,"correct",551.929542456249,"experimental",97
"vlump",73,"correct",448.930199692714,"experimental",98
"water",73,"correct",475.527789445427,"experimental",99
"spork",73,"correct",505.7203797051,"experimental",100
"mirth",73,"correct",500.289341877984,"experimental",101
"qrasp",73,"correct",531.790756676711,"experimental",102
"brush",73,NA,NA,"experimental",103
"quote",73,"correct",500.388461600006,"experimental",104
"dworp",73,"correct",585.685537549469,"experimental",105
"prump",73,"correct",564.095833473228,"experimental",106
"flasp",73,"correct",550.535367823392,"experimental",107
"squat",73,"correct",470.239217518251,"experimental",108
"crasp",73,"correct",504.885830051228,"experimental",109
"snibb",73,NA,NA,"experimental",110
