"word","ID","accuracy","rt","trial_type","trial_number"
"climb",62,"correct",650.885352910733,"practice",1
"brick",62,"correct",502.925306746142,"practice",2
"fruit",62,"correct",523.178228602471,"practice",3
"drown",62,"correct",392.471718056026,"practice",4
"elbow",62,"correct",464.923861179796,"practice",5
"blarp",62,"correct",496.425809702561,"practice",6
"drorp",62,NA,NA,"practice",7
"snorp",62,"correct",469.645166987793,"practice",8
"florp",62,"correct",508.553156009008,"practice",9
"plimp",62,"correct",512.383966920243,"practice",10
"twasp",62,"correct",528.167247035383,"experimental",11
"shine",62,"correct",480.44928147122,"experimental",12
"glorf",62,NA,NA,"experimental",13
"nlorp",62,"correct",524.498134897957,"experimental",14
"grape",62,"correct",448.913535531286,"experimental",15
"flasp",62,"correct",424.380461382663,"experimental",16
"squat",62,"correct",446.655227450029,"experimental",17
"blasp",62,"correct",530.588853997503,"experimental",18
"water",62,"correct",532.134957184509,"experimental",19
"zrimp",62,"correct",398.792233299781,"experimental",20
"light",62,"correct",474.610814479803,"experimental",21
"lwump",62,"correct",528.939074398983,"experimental",22
"clock",62,"correct",483.784579738553,"experimental",23
"slurb",62,"incorrect",447.33139304068,"experimental",24
"brump",62,"correct",449.585868103112,"experimental",25
"pluck",62,"correct",450.241730307651,"experimental",26
"bread",62,"correct",501.777114675324,"experimental",27
"wrump",62,"correct",554.543768591357,"experimental",28
"qrump",62,"correct",468.514034434243,"experimental",29
"dresp",62,"correct",518.788307516771,"experimental",30
"dramp",62,"correct",495.482623499399,"experimental",31
"blorf",62,NA,NA,"experimental",32
"quibb",62,"correct",521.177287379679,"experimental",33
"brush",62,"correct",531.170261163307,"experimental",34
"blump",62,"correct",484.60630259507,"experimental",35
"dworp",62,"correct",551.811822233808,"experimental",36
"sleek",62,"correct",528.120429933993,"experimental",37
"judge",62,"correct",566.370651481452,"experimental",38
"flock",62,"correct",531.19568070788,"experimental",39
"mlorp",62,"incorrect",508.919589188516,"experimental",40
"quart",62,"correct",505.76790880076,"experimental",41
"table",62,"correct",463.579122389618,"experimental",42
"klirp",62,"correct",556.490042595631,"experimental",43
"onion",62,"correct",508.553156009008,"experimental",44
"prasp",62,"correct",474.183604638893,"experimental",45
"snack",62,"correct",454.447176116444,"experimental",46
"shred",62,"correct",525.050193887348,"experimental",47
"hrump",62,"correct",606.055157129307,"experimental",48
"speak",62,"correct",522.960050136692,"experimental",49
"group",62,"correct",633.124559725897,"experimental",50
"clorb",62,"incorrect",513.814896235336,"experimental",51
"scary",62,"correct",450.994743353549,"experimental",52
"sloth",62,"correct",608.850890071161,"experimental",53
"knasp",62,"correct",516.275430476722,"experimental",54
"trimp",62,"correct",456.727822023439,"experimental",55
"liver",62,"correct",523.151689746197,"experimental",56
"saint",62,"correct",514.708640592779,"experimental",57
"laugh",62,"correct",529.652045733187,"experimental",58
"piano",62,"correct",460.935860646247,"experimental",59
"trasp",62,"correct",566.771549586947,"experimental",60
"ocean",62,"correct",530.286059730837,"experimental",61
"quill",62,"correct",447.487621638179,"experimental",62
"plane",62,"correct",546.379868111759,"experimental",63
"wrasp",62,"correct",510.241732542051,"experimental",64
"swoop",62,"correct",439.107231100766,"experimental",65
"mango",62,"correct",455.799050559952,"experimental",66
"plasp",62,"correct",543.511361554787,"experimental",67
"plant",62,"correct",502.925306746142,"experimental",68
"swipe",62,"correct",508.683111682698,"experimental",69
"mirth",62,"correct",528.223308491261,"experimental",70
"flibb",62,"correct",488.676544862631,"experimental",71
"haste",62,"correct",650.885352910733,"experimental",72
"ruler",62,"correct",488.773618347362,"experimental",73
"frasp",62,"correct",553.871478903693,"experimental",74
"xrimp",62,"correct",534.679155640272,"experimental",75
"xlorp",62,"correct",547.410527305958,"experimental",76
"globe",62,"correct",498.538947020099,"experimental",77
"grisp",62,"correct",495.003564614424,"experimental",78
"dwasp",62,"correct",429.731267856202,"experimental",79
"jlorp",62,"correct",446.727661796547,"experimental",80
"apple",62,"correct",518.394356410711,"experimental",81
"grind",62,"correct",568.899159706485,"experimental",82
"snibb",62,"correct",569.639770687165,"experimental",83
"florp",62,"correct",536.30465703367,"experimental",84
"vlasp",62,"correct",615.98033690275,"experimental",85
"skump",62,"correct",459.392599999222,"experimental",86
"quote",62,"correct",478.522570389916,"experimental",87
"prump",62,"correct",520.661663421796,"experimental",88
"quiet",62,"correct",392.471718056026,"experimental",89
"honor",62,"incorrect",474.77438008528,"experimental",90
"zworp",62,"correct",536.316944419193,"experimental",91
"drisp",62,"correct",504.971335201912,"experimental",92
"nrimp",62,"correct",487.843939929449,"experimental",93
"sweep",62,"correct",418.766630087703,"experimental",94
"train",62,"correct",456.43496076426,"experimental",95
"spork",62,"correct",496.425809702561,"experimental",96
"glasp",62,"correct",444.021581012641,"experimental",97
"chair",62,"correct",549.359654956745,"experimental",98
"jwump",62,"correct",513.281865077011,"experimental",99
"crasp",62,"correct",463.589328544475,"experimental",100
"sugar",62,"correct",613.991631050328,"experimental",101
"flame",62,"correct",469.645166987793,"experimental",102
"mrump",62,"correct",445.79921677121,"experimental",103
"zlorp",62,NA,NA,"experimental",104
"heart",62,"correct",473.820063878162,"experimental",105
"vlump",62,"correct",495.43517815913,"experimental",106
"stare",62,"correct",571.04678922332,"experimental",107
"crane",62,"correct",575.663670274687,"experimental",108
"plurt",62,NA,NA,"experimental",109
"qrasp",62,"correct",587.25814168739,"experimental",110
